Instance,SepalLength,SepalWidth,PetalLength,PetalWidth,Cluster
0,5.1,3.5,1.4,0.2,cluster6
1,4.9,3,1.4,0.2,cluster6
2,4.7,3.2,1.3,0.2,cluster6
3,4.6,3.1,1.5,0.2,cluster6
4,5,3.6,1.4,0.2,cluster6
5,5.4,3.9,1.7,0.4,cluster3
6,4.6,3.4,1.4,0.3,cluster6
7,5,3.4,1.5,0.2,cluster6
8,4.4,2.9,1.4,0.2,cluster6
9,4.9,3.1,1.5,0.1,cluster6
10,5.4,3.7,1.5,0.2,cluster3
11,4.8,3.4,1.6,0.2,cluster6
12,4.8,3,1.4,0.1,cluster6
13,4.3,3,1.1,0.1,cluster6
14,5.8,4,1.2,0.2,cluster3
15,5.7,4.4,1.5,0.4,cluster3
16,5.4,3.9,1.3,0.4,cluster3
17,5.1,3.5,1.4,0.3,cluster6
18,5.7,3.8,1.7,0.3,cluster3
19,5.1,3.8,1.5,0.3,cluster3
20,5.4,3.4,1.7,0.2,cluster6
21,5.1,3.7,1.5,0.4,cluster3
22,4.6,3.6,1,0.2,cluster6
23,5.1,3.3,1.7,0.5,cluster6
24,4.8,3.4,1.9,0.2,cluster6
25,5,3,1.6,0.2,cluster6
26,5,3.4,1.6,0.4,cluster6
27,5.2,3.5,1.5,0.2,cluster6
28,5.2,3.4,1.4,0.2,cluster6
29,4.7,3.2,1.6,0.2,cluster6
30,4.8,3.1,1.6,0.2,cluster6
31,5.4,3.4,1.5,0.4,cluster6
32,5.2,4.1,1.5,0.1,cluster3
33,5.5,4.2,1.4,0.2,cluster3
34,4.9,3.1,1.5,0.1,cluster6
35,5,3.2,1.2,0.2,cluster6
36,5.5,3.5,1.3,0.2,cluster3
37,4.9,3.1,1.5,0.1,cluster6
38,4.4,3,1.3,0.2,cluster6
39,5.1,3.4,1.5,0.2,cluster6
40,5,3.5,1.3,0.3,cluster6
41,4.5,2.3,1.3,0.3,cluster6
42,4.4,3.2,1.3,0.2,cluster6
43,5,3.5,1.6,0.6,cluster6
44,5.1,3.8,1.9,0.4,cluster3
45,4.8,3,1.4,0.3,cluster6
46,5.1,3.8,1.6,0.2,cluster3
47,4.6,3.2,1.4,0.2,cluster6
48,5.3,3.7,1.5,0.2,cluster3
49,5,3.3,1.4,0.2,cluster6
50,7,3.2,4.7,1.4,cluster4
51,6.4,3.2,4.5,1.5,cluster4
52,6.9,3.1,4.9,1.5,cluster4
